Id,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageCars,SalePrice
70,15593,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Y,0,0,2,0,3,1,2,225000
71,13651,Inside,NAmes,1Fam,1Story,7,6,1973,1973,Y,1,0,2,0,3,1,2,244000
72,7599,Corner,Mitchel,1Fam,1Story,4,6,1982,2006,Y,1,0,1,0,2,1,2,129500
73,10141,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,Y,0,0,2,1,3,1,2,185000
74,10200,Inside,NAmes,1Fam,1Story,5,7,1954,2003,Y,1,0,1,0,3,1,2,144900
75,5790,Corner,OldTown,1Fam,2Story,3,6,1915,1950,N,0,0,2,0,3,2,1,107400
76,1596,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,Y,1,0,1,0,2,1,1,91000
77,8475,Inside,NAmes,1Fam,1Story,4,7,1956,1956,Y,0,0,1,0,2,1,1,135750
78,8635,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Y,1,0,1,0,2,1,1,127000
79,10778,Inside,Sawyer,Duplex,1Story,4,5,1968,1968,N,0,0,2,0,4,2,0,136500
80,10440,Corner,OldTown,1Fam,2Story,5,6,1910,1981,Y,0,0,1,1,2,1,2,110000
81,13000,Corner,NAmes,1Fam,2Story,6,6,1968,1968,Y,0,0,2,1,4,1,1,193500
82,4500,FR2,Mitchel,TwnhsE,1Story,6,5,1998,1998,Y,1,0,2,0,2,1,2,153500
83,10206,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Y,0,0,2,0,3,1,3,245000
84,8892,Inside,NAmes,1Fam,1Story,5,5,1960,1960,Y,0,0,1,1,3,1,2,126500
85,8530,Inside,Gilbert,1Fam,SLvl,7,5,1995,1996,Y,0,0,2,1,3,1,2,168500
86,16059,Corner,NoRidge,1Fam,2Story,8,5,1991,1992,Y,0,0,2,1,4,1,2,260000
87,11911,Inside,Gilbert,1Fam,2Story,6,5,2005,2005,Y,0,0,2,1,3,1,2,174000
88,3951,Corner,Somerst,TwnhsE,2Story,6,5,2009,2009,Y,0,0,2,1,2,1,2,164500
89,8470,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,1982,N,0,0,1,0,2,1,0,85000
90,8070,Inside,CollgCr,1Fam,1Story,4,5,1994,1995,Y,1,0,1,0,3,1,0,123600
91,7200,Inside,NAmes,1Fam,1Story,4,5,1950,1950,Y,0,0,1,0,2,1,2,109900
92,8500,Inside,NAmes,1Fam,1Story,5,3,1961,1961,Y,0,0,1,0,2,1,2,98600
93,13360,Inside,Crawfor,1Fam,1Story,5,7,1921,2006,Y,1,0,1,0,2,1,2,163500
94,7200,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,1998,N,0,1,2,0,4,2,2,133900
95,9337,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,Y,1,0,2,1,3,1,2,204750
96,9765,Corner,Gilbert,1Fam,2Story,6,8,1993,1993,Y,0,0,2,1,3,1,2,185000
97,10264,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,Y,0,0,2,0,3,1,2,214000
98,10921,Inside,Edwards,1Fam,1Story,4,5,1965,1965,Y,1,0,1,0,3,1,1,94750
99,10625,Corner,Edwards,1Fam,1Story,5,5,1920,1950,N,0,0,1,0,2,1,1,83000
100,9320,Inside,NAmes,1Fam,1Story,4,5,1959,1959,Y,1,0,1,1,3,1,0,128950
101,10603,Inside,NWAmes,1Fam,1Story,6,7,1977,2001,Y,1,0,2,0,3,1,2,205000
102,9206,Inside,SawyerW,1Fam,2Story,6,5,1985,1985,Y,0,0,2,1,3,1,2,178000
103,7018,Inside,SawyerW,Duplex,1Story,5,5,1979,1979,Y,0,0,2,0,4,2,2,118964
104,10402,Corner,CollgCr,1Fam,1Story,7,5,2009,2009,Y,0,0,2,0,3,1,3,198900
105,7758,Corner,IDOTRR,1Fam,1.5Fin,7,4,1931,1950,Y,0,0,1,1,4,1,1,169500
106,9375,Inside,Somerst,1Fam,2Story,8,5,2003,2004,Y,0,0,2,1,3,1,2,250000
107,10800,Inside,OldTown,1Fam,1Story,4,7,1885,1995,Y,0,0,1,0,2,1,1,100000
108,6000,Inside,OldTown,1Fam,1Story,5,5,1948,1950,Y,0,0,1,0,2,1,1,115000
109,8500,Corner,IDOTRR,1Fam,1.5Fin,5,7,1919,2005,N,0,0,2,0,3,1,0,115000
110,11751,Inside,NWAmes,1Fam,1Story,6,6,1977,1977,Y,0,0,2,0,3,1,2,190000
111,9525,Inside,Edwards,1Fam,1.5Fin,6,4,1954,1972,Y,0,0,2,0,4,1,1,136900
112,7750,Inside,Gilbert,1Fam,SLvl,7,5,2000,2000,Y,0,0,2,1,3,1,2,180000
113,9965,Inside,CollgCr,1Fam,2Story,7,5,2007,2007,Y,1,0,2,1,4,1,3,383970
114,21000,Corner,Crawfor,1Fam,1Story,6,5,1953,1953,Y,1,0,2,0,3,1,2,217000
115,7259,Inside,Crawfor,1Fam,2Story,6,8,1945,2002,Y,1,0,2,1,3,1,1,259500
116,3230,Corner,Somerst,TwnhsE,2Story,6,5,1999,1999,Y,0,0,2,1,2,1,2,176000
117,11616,Inside,Sawyer,1Fam,1Story,5,5,1962,1962,Y,0,1,1,0,3,1,1,139000
118,8536,Corner,Edwards,1Fam,1Story,5,5,2006,2007,Y,0,0,1,1,2,1,2,155000
119,12376,Corner,SawyerW,1Fam,2Story,7,5,1990,1990,Y,1,0,3,0,5,1,3,320000
120,8461,Inside,CollgCr,1Fam,2Story,6,5,2005,2006,Y,0,0,2,1,3,1,2,163990
121,21453,CulDSac,ClearCr,1Fam,SLvl,6,5,1969,1969,Y,1,0,1,0,1,1,2,180000
122,6060,Inside,IDOTRR,1Fam,1.5Fin,4,5,1939,1950,Y,0,0,1,0,3,1,1,100000
123,9464,Corner,NAmes,1Fam,1Story,6,7,1958,1958,Y,0,0,1,0,3,1,1,136000
124,7892,Inside,SawyerW,TwnhsE,1Story,6,5,1993,1993,Y,0,0,2,0,2,1,2,153900
125,17043,CulDSac,NWAmes,1Fam,1Story,6,5,1979,1998,Y,0,0,2,0,3,1,2,181000
126,6780,Inside,IDOTRR,2fmCon,1.5Fin,6,8,1935,1982,N,1,0,1,0,2,1,0,84500
127,4928,Inside,NPkVill,TwnhsE,1Story,6,5,1976,1976,Y,0,0,2,0,2,1,2,128000
128,4388,Inside,OldTown,1Fam,1.5Unf,5,7,1930,1950,Y,0,0,1,0,3,1,0,87000
129,7590,Inside,NAmes,1Fam,2Story,6,5,1966,1966,Y,0,0,1,1,3,1,2,155000
130,8973,Inside,NAmes,1Fam,1Story,5,7,1958,1991,Y,0,1,1,1,3,1,2,150000
131,14200,Corner,NAmes,1Fam,2Story,7,6,1966,1966,Y,0,0,2,1,4,1,2,226000
132,12224,Corner,Gilbert,1Fam,2Story,6,5,2000,2000,Y,1,0,2,1,3,1,2,244000
133,7388,Corner,NAmes,1Fam,1Story,5,6,1959,2002,Y,1,0,1,0,3,1,2,150750
134,6853,Inside,Timber,1Fam,1Story,8,5,2001,2002,Y,1,0,2,0,2,1,2,220000
135,10335,Inside,Sawyer,1Fam,1Story,5,6,1968,1993,Y,0,0,2,1,3,1,2,180000
136,10400,Inside,NWAmes,1Fam,1Story,7,6,1970,1970,Y,0,0,2,0,3,1,2,174000
137,10355,Corner,NAmes,1Fam,1Story,5,5,1967,1967,Y,0,0,2,0,3,1,1,143000
138,11070,Inside,Mitchel,Duplex,1Story,7,5,1988,1989,Y,0,0,3,0,5,2,3,171000
139,9066,Inside,CollgCr,1Fam,2Story,8,5,1999,2000,Y,0,0,2,1,3,1,3,230000
140,15426,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,Y,1,0,2,1,3,1,2,231500
141,10500,FR2,NAmes,1Fam,1Story,4,5,1971,1971,Y,0,0,1,0,3,1,0,115000
142,11645,Inside,CollgCr,1Fam,1Story,7,5,2005,2005,Y,1,0,2,0,3,1,2,260000
143,8520,Corner,NAmes,1Fam,1.5Fin,5,4,1952,1952,Y,0,0,2,0,4,1,2,166000
144,10335,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,Y,1,0,2,0,3,1,2,204000
145,9100,Inside,Sawyer,Duplex,1Story,5,5,1963,1963,Y,1,0,2,0,6,2,2,125000
146,2522,Inside,Edwards,Twnhs,2Story,6,5,2004,2006,Y,0,0,2,0,3,1,2,130000
147,6120,Corner,BrkSide,1Fam,1Story,5,7,1931,1993,Y,1,0,1,0,2,1,1,105000
148,9505,CulDSac,Gilbert,1Fam,2Story,7,5,2001,2001,Y,0,0,2,1,3,1,2,222500
149,7500,Inside,SawyerW,1Fam,1Story,7,5,2004,2005,Y,1,0,1,0,3,1,0,141000
150,6240,Inside,BrkSide,1Fam,1.5Fin,5,4,1936,1950,Y,0,0,1,0,3,1,1,115000
151,10356,Corner,CollgCr,1Fam,1Story,5,6,1975,1975,Y,0,0,1,1,3,1,2,122000
152,13891,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Y,1,0,2,0,2,1,3,372402
153,14803,CulDSac,NWAmes,1Fam,2Story,6,5,1971,1971,Y,0,0,2,1,4,1,2,190000
154,13500,Inside,ClearCr,1Fam,1Story,6,7,1960,1975,Y,1,0,1,0,1,1,2,235000
155,11340,Corner,OldTown,1Fam,1Story,6,5,1923,1950,Y,0,0,1,0,4,1,1,125000
156,9600,Corner,Edwards,1Fam,1.5Fin,6,5,1924,1950,N,0,0,1,0,2,1,0,79000
157,7200,Inside,NAmes,1Fam,1Story,5,7,1950,1950,Y,0,0,1,0,2,1,2,109500
158,12003,Corner,Timber,1Fam,2Story,8,5,2009,2010,Y,0,0,2,1,4,1,3,269500
159,12552,Corner,Somerst,1Fam,2Story,7,5,2004,2005,Y,0,0,2,1,3,1,2,254900
160,19378,Corner,Gilbert,1Fam,2Story,7,5,2005,2006,Y,1,0,2,1,4,1,2,320000
161,11120,CulDSac,Veenker,1Fam,1Story,6,6,1984,1984,Y,0,0,2,0,3,1,2,162500
162,13688,Inside,NridgHt,1Fam,2Story,9,5,2003,2004,Y,1,0,2,1,3,1,3,412500
163,12182,Corner,NridgHt,1Fam,1Story,7,5,2005,2005,Y,0,0,2,0,3,1,2,220000
164,5500,Inside,OldTown,1Fam,1.5Unf,4,6,1956,1956,Y,0,0,1,0,1,1,0,103200
165,5400,Corner,OldTown,1Fam,1Story,6,7,1926,2004,Y,0,0,2,0,3,1,1,152000
166,10106,Inside,Edwards,2fmCon,1.5Fin,5,7,1940,1999,Y,1,0,2,0,4,2,0,127500
167,10708,Inside,ClearCr,1Fam,1Story,5,5,1955,1993,Y,1,0,1,0,2,1,1,190000
168,10562,Inside,NridgHt,1Fam,2Story,8,5,2007,2007,Y,1,0,1,1,3,1,3,325624
169,8244,Inside,Gilbert,1Fam,2Story,7,5,2004,2004,Y,0,0,2,1,3,1,2,183500
170,16669,Corner,Timber,1Fam,1Story,8,6,1981,1981,Y,0,0,2,1,2,1,2,228000
171,12358,Inside,OldTown,1Fam,1.5Fin,5,6,1941,1950,Y,0,0,1,1,2,1,2,128500
172,31770,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Y,1,0,1,0,3,1,2,215000
173,5306,Inside,StoneBr,TwnhsE,2Story,7,7,1987,1987,Y,1,0,2,0,2,1,2,239000
174,10197,Inside,NAmes,1Fam,1Story,6,5,1961,1961,Y,1,0,1,1,3,1,2,163000
175,12416,Inside,Timber,1Fam,1Story,6,5,1986,1986,Y,1,0,2,0,3,1,2,184000
176,12615,Corner,Edwards,1Fam,1Story,6,7,1950,2001,Y,1,0,2,0,4,1,2,243000
177,10029,Corner,ClearCr,1Fam,2Story,6,5,1988,1989,Y,0,1,2,1,4,1,2,211000
178,13650,Inside,Sawyer,1Fam,1.5Fin,5,5,1958,1958,Y,1,0,2,0,4,1,2,172500
179,17423,CulDSac,StoneBr,1Fam,1Story,9,5,2008,2009,Y,1,0,2,0,1,1,3,501837
180,8520,Inside,OldTown,1Fam,1Story,5,6,1923,2006,Y,0,0,1,0,2,1,2,100000
181,2117,Inside,Somerst,Twnhs,2Story,6,5,2000,2000,Y,0,0,2,1,3,1,2,177000
182,7588,Inside,Crawfor,1Fam,2Story,7,6,1920,1950,Y,0,0,1,1,4,1,1,200100
183,9060,Inside,Edwards,1Fam,1Story,5,6,1957,2006,Y,0,0,1,0,3,1,1,120000
184,11426,Inside,OldTown,1Fam,1.5Fin,7,5,2003,2003,Y,0,0,2,1,3,1,2,200000
185,7438,Inside,BrkSide,1Fam,1.5Fin,5,8,1908,1991,Y,0,0,1,0,3,1,2,127000
186,22950,Inside,OldTown,1Fam,2.5Fin,10,9,1892,1993,Y,0,0,2,1,4,1,3,475000
187,9947,CulDSac,Mitchel,1Fam,SLvl,7,5,1990,1991,Y,1,0,2,0,3,1,2,173000
188,10410,Inside,OldTown,1Fam,1.5Fin,5,7,1916,1987,Y,0,0,2,1,3,1,1,135000
189,7018,Inside,SawyerW,Duplex,SFoyer,5,5,1979,1979,Y,2,0,0,2,2,2,2,153337
190,4923,Inside,StoneBr,TwnhsE,1Story,8,5,2001,2002,Y,1,0,1,1,0,1,2,286000
191,10570,Inside,Crawfor,1Fam,2Story,8,8,1932,1994,Y,0,0,2,1,3,1,2,315000
192,7472,CulDSac,NAmes,1Fam,2Story,7,9,1972,2004,Y,1,0,1,1,4,1,2,184000
193,9017,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,Y,1,0,2,0,3,1,2,192000
194,2522,Inside,Edwards,Twnhs,2Story,7,5,2004,2004,Y,0,0,2,0,3,1,2,130000
195,7180,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Y,0,0,1,0,3,1,1,127000
196,2280,FR2,NPkVill,Twnhs,2Story,6,6,1976,1976,Y,0,0,2,1,3,1,2,148500
197,9416,Inside,Somerst,1Fam,1Story,7,5,2007,2007,Y,1,0,2,0,3,1,3,311872
198,25419,Corner,NAmes,1Fam,2Story,8,4,1918,1990,Y,1,1,2,0,4,1,2,235000
199,5520,Corner,OldTown,1Fam,2.5Fin,6,6,1912,1950,Y,0,0,1,0,5,1,0,104000
200,9591,Inside,NridgHt,1Fam,1Story,8,5,2004,2005,Y,1,0,2,0,3,1,3,274900
201,8546,Corner,Edwards,1Fam,1Story,4,5,2003,2004,Y,0,0,2,0,2,1,2,140000
202,10125,Inside,Mitchel,1Fam,1Story,6,6,1977,1977,Y,0,1,2,0,3,1,2,171500
203,7000,Corner,OldTown,1Fam,1.5Fin,6,6,1924,1950,Y,0,0,2,0,2,1,1,112000
204,4438,Inside,CollgCr,TwnhsE,1Story,6,5,2004,2004,Y,1,0,1,0,1,1,2,149000
205,3500,Inside,OldTown,1Fam,1.5Fin,5,7,1947,1950,Y,0,0,1,1,2,1,1,110000
206,11851,Corner,Gilbert,1Fam,1Story,7,5,1990,1990,Y,0,0,2,0,3,1,2,180500
207,13673,CulDSac,Sawyer,1Fam,1Story,5,5,1962,1962,Y,0,0,1,1,3,1,1,143900
208,12493,Inside,NAmes,1Fam,1Story,4,5,1960,1960,Y,1,0,1,0,3,1,1,141000
209,14364,Inside,SawyerW,1Fam,2Story,7,5,1988,1989,Y,1,0,2,1,3,1,2,277000
210,8250,Inside,NAmes,1Fam,1Story,6,7,1964,1964,Y,1,0,1,0,3,1,2,145000
211,5604,Inside,Edwards,1Fam,1Story,5,6,1925,1950,N,1,0,1,0,2,1,0,98000
212,10420,Corner,Edwards,1Fam,1Story,6,5,2009,2009,Y,0,0,2,0,3,1,2,186000
213,8640,Inside,Somerst,1Fam,2Story,7,5,2009,2009,Y,1,0,2,1,3,1,2,252678
214,13568,CulDSac,CollgCr,1Fam,1Story,5,5,1995,1995,Y,0,1,1,0,3,1,2,156000
215,10900,FR2,CollgCr,1Fam,2Story,6,7,1977,1977,Y,0,0,1,1,3,1,1,161750
216,10011,Inside,NAmes,1Fam,1Story,5,6,1957,1996,Y,0,1,1,0,2,1,1,134450
217,8450,Inside,CollgCr,1Fam,1Story,7,5,2004,2004,Y,1,0,2,0,3,1,2,210000
218,9906,Inside,OldTown,1Fam,2Story,4,4,1925,1950,N,0,0,1,0,3,1,1,107000
219,15660,Corner,Crawfor,1Fam,1.5Fin,7,9,1939,2006,Y,0,1,1,1,3,1,2,311500
220,3010,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,2006,Y,0,0,2,0,2,1,2,167240
221,8990,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,Y,0,0,2,0,2,1,2,204900
222,8068,Inside,Gilbert,1Fam,2Story,6,5,2002,2002,Y,0,0,2,1,4,1,2,200000
223,11475,Inside,NWAmes,1Fam,2Story,6,6,1975,1975,Y,1,0,2,1,3,1,2,179900
224,10500,FR2,NAmes,1Fam,1Story,4,6,1971,1971,Y,0,0,1,0,2,1,2,97000
225,13472,Inside,NridgHt,1Fam,1Story,10,5,2003,2003,Y,0,0,2,0,3,1,3,386250
226,1680,Inside,BrDale,Twnhs,2Story,5,5,1971,1971,Y,0,0,2,1,3,1,1,112000
227,9950,Inside,NoRidge,1Fam,2Story,7,5,1995,1995,Y,0,0,2,1,4,1,3,290000
228,1869,Inside,BrDale,Twnhs,2Story,6,6,1970,1970,Y,0,0,1,1,2,1,1,106000
229,8521,FR2,Sawyer,1Fam,1Story,5,5,1967,1967,Y,0,0,1,0,3,1,1,125000
230,3182,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,2006,Y,0,0,2,0,2,1,2,192500
231,8760,Inside,NAmes,1Fam,1Story,6,6,1959,1959,Y,1,0,1,0,3,1,1,148000
232,15138,Inside,NoRidge,1Fam,2Story,8,5,1995,1996,Y,1,0,2,1,4,1,3,403000
233,1680,Inside,BrDale,Twnhs,2Story,6,5,1972,1972,Y,0,0,1,1,2,1,1,94500
234,10650,Corner,CollgCr,1Fam,1Story,5,6,1976,1976,Y,1,0,1,0,3,1,1,128200
235,7851,Inside,Gilbert,1Fam,2Story,6,5,2002,2002,Y,1,0,2,1,4,1,2,216500
236,1680,Inside,BrDale,TwnhsE,2Story,6,3,1971,1971,Y,0,0,1,1,2,1,1,89500
237,8773,FR2,CollgCr,1Fam,1Story,7,5,2004,2004,Y,0,0,2,0,3,1,2,185500
238,9453,CulDSac,SawyerW,1Fam,2Story,7,7,1993,2003,Y,0,0,2,1,3,1,2,194500
239,12030,Inside,NridgHt,1Fam,1Story,8,5,2007,2007,Y,0,0,2,0,3,1,3,318000
240,8741,Inside,Edwards,1Fam,1.5Fin,6,4,1945,1950,Y,0,0,1,1,3,1,1,113000
241,9000,Inside,Somerst,1Fam,1Story,8,5,2008,2008,Y,1,0,2,0,3,1,2,262500
242,3880,Inside,OldTown,1Fam,1Story,5,9,1945,1997,Y,0,0,1,0,2,1,0,110500
243,5000,Corner,OldTown,1Fam,1.5Fin,5,4,1900,1950,N,0,0,1,0,3,1,1,79000
244,10762,Corner,SawyerW,TwnhsE,2Story,6,6,1980,1980,Y,0,0,1,1,3,1,1,120000
245,8880,Inside,SawyerW,1Fam,2Story,7,5,1994,2002,Y,1,0,2,1,3,1,2,205000
246,10400,Inside,NWAmes,1Fam,1Story,7,5,1988,1988,Y,0,1,2,0,3,1,2,241500
247,9142,Inside,OldTown,2fmCon,2Story,6,8,1910,1950,N,0,0,2,0,4,2,1,137000
248,11310,Inside,NAmes,1Fam,1Story,6,5,1954,1954,Y,0,0,1,0,2,1,2,140000
249,11317,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Y,0,0,2,1,3,1,2,180000
250,159000,CulDSac,ClearCr,1Fam,1.5Fin,6,7,1958,2006,Y,0,1,2,0,4,1,2,277000
251,5350,Inside,BrkSide,1Fam,1Story,3,2,1940,1966,Y,0,0,1,0,3,1,0,76500
252,4750,Inside,Crawfor,TwnhsE,1Story,8,5,2006,2007,Y,1,1,2,0,2,1,2,235000
